strategy,score,raw_sharpe,vol_penalty,return_penalty,cumulative_return,max_drawdown,avg_position,min_history_used,rows,start,end,avg_history
SPY,0.6195935918864414,0.6195935918864414,1.0,1.0,3.3398464087637265,-0.3369994047055286,1.0,252,2830,2015-01-28,2026-04-29,534.2473498233215
2state,0.013890157340709749,0.03417035780901345,1.2164820090507962,2.022258506091081,0.3947160319279137,-0.7011686680637071,0.8699646643109541,252,2830,2015-01-28,2026-04-29,534.2473498233215
3state,0.23392430025180846,0.32700566706333334,1.3419496755862972,1.0417025095652268,2.450722931185323,-0.6118898039679583,1.2643109540636042,252,2830,2015-01-28,2026-04-29,534.2473498233215
SPY,0.681357459751843,0.681357459751843,1.0,1.0,3.429048424875342,-0.33699940470552847,1.0,300,2590,2016-01-11,2026-04-29,558.2490347490348
2state,0.02703398447100847,0.0688442207577919,1.2184069963619903,2.0900902744644996,0.5150327553749794,-0.7011686680637075,0.8864864864864865,300,2590,2016-01-11,2026-04-29,558.2490347490348
3state,0.26710384288992645,0.37190635717319576,1.3425753426761349,1.0370860650699452,2.6340000696770707,-0.6118898039679582,1.2702702702702702,300,2590,2016-01-11,2026-04-29,558.2490347490348
SPY,0.5492632960874403,0.5492632960874403,1.0,1.0,2.008360951608769,-0.3369994047055287,1.0,400,2090,2018-01-04,2026-04-29,608.2521531100479
2state,-0.021481707956519533,-0.06750389284912123,1.2317113790863186,2.5512384816036144,0.07105159525934002,-0.7011686680637077,0.9598086124401913,400,2090,2018-01-04,2026-04-29,608.2521531100479
3state,0.13805910012283304,0.21782470244642912,1.3541794350715917,1.1651071755155855,1.1479241230227797,-0.6118898039679583,1.3129186602870813,400,2090,2018-01-04,2026-04-29,608.2521531100479
SPY,0.5444191259154711,0.5444191259154711,1.0,1.0,1.4221447160209975,-0.33699940470552847,1.0,500,1589,2020-01-02,2026-04-29,658.35368156073
2state,-0.0435313957457148,-0.20802904389369106,1.2127689731302576,3.9404271544745604,-0.17836901838889496,-0.7011686680637075,0.9389553178099433,500,1589,2020-01-02,2026-04-29,658.35368156073
3state,0.0766315526396663,0.14631559125410845,1.338308150946013,1.4266809380279528,0.6046236911402814,-0.6118898039679583,1.2907488986784141,500,1589,2020-01-02,2026-04-29,658.35368156073
SPY,0.3780352059005947,0.3780352059005947,1.0,1.0,0.5964800322786437,-0.2449719241956173,1.0,600,1089,2021-12-27,2026-04-29,708.3590449954087
2state,-0.018673129686885094,-0.032483002572222815,1.11845425818278,1.5553238287438018,0.15698408761756055,-0.5591491187597097,0.9513314967860422,600,1089,2021-12-27,2026-04-29,708.3590449954087
3state,0.07279039503835735,0.10574650524370988,1.2550207306423553,1.15755343370411,0.3448471848821981,-0.5650070860259806,1.285583103764922,600,1089,2021-12-27,2026-04-29,708.3590449954087
SPY,0.9082150912015878,0.9082150912015878,1.0,1.0,0.5621611646890954,-0.18755388287426156,1.0,700,589,2023-12-21,2026-04-29,758.3718166383701
2state,0.9513584432639471,1.1207788672253158,1.1780826408394678,1.0,0.9813306843939917,-0.3162965543295305,1.0560271646859083,700,589,2023-12-21,2026-04-29,758.3718166383701
3state,0.8875796801124284,1.1645811153382573,1.312086273979077,1.0,1.1481118391625178,-0.28845859021750253,1.3786078098471986,700,589,2023-12-21,2026-04-29,758.3718166383701
SPY,0.6804249396876005,0.6804249396876005,1.0,1.0,0.24810316322623072,-0.18755388287426122,1.0,750,339,2024-12-19,2026-04-29,783.3864306784661
2state,0.6386195647980283,0.7645359288874969,1.197169599915548,1.0,0.37241239158506434,-0.31629655432953063,1.2094395280235988,750,339,2024-12-19,2026-04-29,783.3864306784661
3state,0.511730626491089,0.6834693041375555,1.335603672627667,1.0,0.3661633184204123,-0.28845859021750253,1.480825958702065,750,339,2024-12-19,2026-04-29,783.3864306784661
SPY,0.9122284988912618,0.9122284988912618,1.0,1.0,0.05886245466775342,-0.08881363466930292,1.0,800,89,2025-12-19,2026-04-29,808.4157303370787
2state,0.9818682496162391,1.2124080992261443,1.234797132609198,1.0,0.10211546581005271,-0.10535432694443647,1.0561797752808988,800,89,2025-12-19,2026-04-29,808.4157303370787
3state,1.034499152594217,1.3361458118236615,1.291587149658851,1.0,0.1157103647127864,-0.10417836678218728,1.3370786516853932,800,89,2025-12-19,2026-04-29,808.4157303370787
