strategy,score,raw_sharpe,vol_penalty,return_penalty,cumulative_return,max_drawdown,avg_position,window,rows,start,end
SPY,0.9171663776600859,0.9171663776600859,1.0,1.0,0.5623264202867557,-0.18755388287426122,1.0,2024+,583,2024-01-02,2026-04-29
2state,0.9551098900565109,1.1259251187408446,1.1788435346159247,1.0,0.9781291922644704,-0.31629655432953063,1.0634648370497428,2024+,583,2024-01-02,2026-04-29
3state,0.8865518815780654,1.1639807753800806,1.312930240820414,1.0,1.137398156039886,-0.28845859021750264,1.385934819897084,2024+,583,2024-01-02,2026-04-29
SPY,0.6953149163867002,0.6953149163867002,1.0,1.0,0.2470735402170876,-0.1875538828742609,1.0,2025+,331,2025-01-02,2026-04-29
2state,0.6152545676494201,0.7344306976534346,1.1937021458602524,1.0,0.34948112967183453,-0.3162965543295304,1.2084592145015105,2025+,331,2025-01-02,2026-04-29
3state,0.5090549145700869,0.6784410356360174,1.3327462641412322,1.0,0.354780957378964,-0.28456243176724627,1.4773413897280967,2025+,331,2025-01-02,2026-04-29
SPY,0.6504484586960371,0.6504484586960371,1.0,1.0,0.1822130217893756,-0.1875538828742609,1.0,2025,250,2025-01-02,2025-12-31
2state,0.5454054149999565,0.6481380061930122,1.1883600499145464,1.0,0.24056106387789677,-0.3162965543295304,1.264,2025,250,2025-01-02,2025-12-31
3state,0.41528100863292927,0.5569385253426549,1.3411124365548293,1.0,0.23064859180363229,-0.28456243176724627,1.528,2025,250,2025-01-02,2025-12-31
SPY,0.9088698182197348,0.9088698182197348,1.0,1.0,0.05486364744108374,-0.08881363466930314,1.0,2026_ytd,81,2026-01-02,2026-04-29
2state,0.9068908049017382,1.1104591838349516,1.2244684562164792,1.0,0.08779903623080387,-0.10535432694443603,1.037037037037037,2026_ytd,81,2026-01-02,2026-04-29
3state,0.969124667660652,1.2431440146891979,1.2827493264514616,1.0,0.10086743397106224,-0.1041783667821875,1.3209876543209877,2026_ytd,81,2026-01-02,2026-04-29
SPY,0.8879884362433883,0.8879884362433883,1.0,1.0,0.6874244645444745,-0.187553882874261,1.0,last_720,720,2023-06-15,2026-04-29
2state,0.8941749503340598,1.0473312643940837,1.171282268646427,1.0,1.1437119982946675,-0.3162965543295304,1.0138888888888888,last_720,720,2023-06-15,2026-04-29
3state,0.8522917514397216,1.1154272283177185,1.3087387346334152,1.0,1.3874235229050744,-0.28845859021750253,1.3652777777777778,last_720,720,2023-06-15,2026-04-29
SPY,0.8743012328754006,0.8743012328754006,1.0,1.0,0.4620562338763725,-0.1875538828742609,1.0,last_504,504,2024-04-25,2026-04-29
2state,0.91011602114567,1.0943570168136532,1.2024368227647035,1.0,0.8221271827103946,-0.3162965543295305,1.130952380952381,last_504,504,2024-04-25,2026-04-29
3state,0.858842728407025,1.144268756866594,1.3323379461906546,1.0,0.9598380815310188,-0.28845859021750286,1.4325396825396826,last_504,504,2024-04-25,2026-04-29
SPY,0.6087947119167179,0.6087947119167179,1.0,1.0,0.2392228764473905,-0.1875538828742609,1.0,last_360,360,2024-11-19,2026-04-29
2state,0.6377557337987155,0.7531905588229392,1.1810016263384258,1.0,0.38379044050891586,-0.31629655432953063,1.1666666666666667,last_360,360,2024-11-19,2026-04-29
3state,0.47762376506354626,0.633017582486249,1.325347750236063,1.0,0.35764627998184806,-0.28845859021750275,1.4583333333333333,last_360,360,2024-11-19,2026-04-29
SPY,1.8544319392447235,1.8544319392447235,1.0,1.0,0.3113431570698948,-0.08881363466930281,1.0,last_252,252,2025-04-29,2026-04-29
2state,1.6563799662466512,2.141325882586691,1.2927745603195895,1.0,0.5498258992210654,-0.10535432694443603,1.2142857142857142,last_252,252,2025-04-29,2026-04-29
3state,1.5183895572772677,2.105502322337232,1.386668073582354,1.0,0.577894034132123,-0.10417836678218728,1.4880952380952381,last_252,252,2025-04-29,2026-04-29
SPY,1.0334071579179644,1.0334071579179644,1.0,1.0,0.1276913648682525,-0.08881363466930314,1.0,last_180,180,2025-08-12,2026-04-29
2state,1.3016982285308096,1.6758534918753272,1.287436254535597,1.0,0.2853403557633438,-0.10535432694443603,1.1444444444444444,last_180,180,2025-08-12,2026-04-29
3state,1.0492695839420114,1.439978176482084,1.3723624495739366,1.0,0.259275742592586,-0.10417836678218728,1.4555555555555555,last_180,180,2025-08-12,2026-04-29
SPY,1.0834212993899275,1.0834212993899275,1.0,1.0,0.06843156467524358,-0.08881363466930303,1.0,last_90,90,2025-12-18,2026-04-29
2state,1.1623591472754278,1.4435366941079106,1.241902468347725,1.0,0.12187713487595264,-0.10535432694443658,1.0666666666666667,last_90,90,2025-12-18,2026-04-29
3state,1.200116941160312,1.557279855409438,1.2976067598077643,1.0,0.13571579942887269,-0.10417836678218706,1.3444444444444446,last_90,90,2025-12-18,2026-04-29
SPY,1.7159203941165915,1.7159203941165915,1.0,1.0,0.197981724281326,-0.09970414213583656,1.0,roll180_to_2024-01-31,180,2023-05-15,2024-01-31
2state,1.5008440467315802,1.602072435283982,1.0674476397283574,1.0,0.2294287870299243,-0.08162459626459773,0.7666666666666667,roll180_to_2024-01-31,180,2023-05-15,2024-01-31
3state,1.7970624536750914,2.2147223560058023,1.232412569455543,1.0,0.3506110840754233,-0.10210148787998552,1.25,roll180_to_2024-01-31,180,2023-05-15,2024-01-31
SPY,1.6165611577943437,1.6165611577943437,1.0,1.0,0.18787641866222415,-0.09970414213583645,1.0,roll180_to_2024-02-29,180,2023-06-13,2024-02-29
2state,0.5801742810043541,0.8598655972873773,1.0,1.482081549355898,0.13044727271808987,-0.08162459626459728,0.7111111111111111,roll180_to_2024-02-29,180,2023-06-13,2024-02-29
3state,1.2676060344312128,1.4702974012907597,1.159900916652307,1.0,0.2258370457286698,-0.10210148787998585,1.1888888888888889,roll180_to_2024-02-29,180,2023-06-13,2024-02-29
SPY,1.4832345995579197,1.4832345995579197,1.0,1.0,0.17403397033744872,-0.09970414213583678,1.0,roll180_to_2024-03-28,180,2023-07-13,2024-03-28
2state,0.9270529261389693,1.0135421943676677,1.0001206599250165,1.093162953939885,0.14873564746402534,-0.08162459626459695,0.7333333333333333,roll180_to_2024-03-28,180,2023-07-13,2024-03-28
3state,1.2952304687144631,1.5150113240642233,1.1696847477406058,1.0,0.23213656042176645,-0.10210148787998585,1.1833333333333333,roll180_to_2024-03-28,180,2023-07-13,2024-03-28
SPY,0.9555903782766122,0.9555903782766122,1.0,1.0,0.12863624879340918,-0.08653462893318564,1.0,roll180_to_2024-04-30,180,2023-08-14,2024-04-30
2state,0.9056152310873884,1.000763133978886,1.1050643801311202,1.0,0.1629734008885675,-0.08162459626459728,0.8666666666666667,roll180_to_2024-04-30,180,2023-08-14,2024-04-30
3state,0.7525734898662854,0.9456711249916073,1.256583094841184,1.0,0.17009468794090998,-0.10210148787998541,1.2722222222222221,roll180_to_2024-04-30,180,2023-08-14,2024-04-30
SPY,1.5523532517535377,1.5523532517535377,1.0,1.0,0.18460701893623566,-0.0742736063836974,1.0,roll180_to_2024-05-31,180,2023-09-14,2024-05-31
2state,1.2350698497944497,1.404630244777737,1.137288101568917,1.0,0.2174427024606489,-0.06357145634837846,0.9111111111111111,roll180_to_2024-05-31,180,2023-09-14,2024-05-31
3state,1.205685071544602,1.5340064661003763,1.2723110721899893,1.0,0.25687105812154254,-0.08515458209995175,1.2777777777777777,roll180_to_2024-05-31,180,2023-09-14,2024-05-31
SPY,2.44863951836552,2.44863951836552,1.0,1.0,0.2629311455093126,-0.05815980185304048,1.0,roll180_to_2024-06-28,180,2023-10-11,2024-06-28
2state,1.5441329961512746,1.7827473158183684,1.1525357231523452,1.0017300281263988,0.2591901948702118,-0.06357145634837835,0.8666666666666667,roll180_to_2024-06-28,180,2023-10-11,2024-06-28
3state,1.8284333176380192,2.3290307653749154,1.2737849080455232,1.0,0.36540634105733694,-0.07625544833722742,1.2555555555555555,roll180_to_2024-06-28,180,2023-10-11,2024-06-28
SPY,2.2881158083631625,2.2881158083631625,1.0,1.0,0.24529119799278587,-0.05353900261865219,1.0,roll180_to_2024-07-31,180,2023-11-10,2024-07-31
2state,1.370560726030763,1.593349415194649,1.0958818434442128,1.0608378603494926,0.22356972952913545,-0.044175234268939434,0.8333333333333334,roll180_to_2024-07-31,180,2023-11-10,2024-07-31
3state,1.977546043836824,2.4244405066143475,1.2259843527640253,1.0,0.3654243796994592,-0.06542829203217893,1.2555555555555555,roll180_to_2024-07-31,180,2023-11-10,2024-07-31
SPY,1.4667962378467192,1.4667962378467192,1.0,1.0,0.1856590677412726,-0.08405622632156629,1.0,roll180_to_2024-08-30,180,2023-12-13,2024-08-30
2state,1.1284910674359259,1.3624034507206928,1.2072788966032717,1.0,0.23449366297958418,-0.06491789159414885,0.8444444444444444,roll180_to_2024-08-30,180,2023-12-13,2024-08-30
3state,1.575771388240846,2.03258467280309,1.2898981971440793,1.0,0.36365322230697816,-0.06542829203217904,1.2555555555555555,roll180_to_2024-08-30,180,2023-12-13,2024-08-30
SPY,1.6225703013105395,1.6225703013105395,1.0,1.0,0.2041606593044234,-0.0840562263215664,1.0,roll180_to_2024-09-30,180,2024-01-12,2024-09-30
2state,1.1948407950946551,1.462073768762458,1.223655716112901,1.0,0.25539157436848514,-0.0965693227840625,0.8666666666666667,roll180_to_2024-09-30,180,2024-01-12,2024-09-30
3state,1.5048321604513581,1.963715025093773,1.3049395651570723,1.0,0.3589971473067284,-0.0783344410946416,1.2555555555555555,roll180_to_2024-09-30,180,2024-01-12,2024-09-30
SPY,1.1197384451411283,1.1197384451411283,1.0,1.0,0.14826835511074288,-0.08405622632156662,1.0,roll180_to_2024-10-31,180,2024-02-15,2024-10-31
2state,1.325874167868414,1.6822662338788648,1.2687978049858353,1.0,0.2962406136292055,-0.09656932278406216,0.9555555555555556,roll180_to_2024-10-31,180,2024-02-15,2024-10-31
3state,1.3406999568055942,1.8015562475911426,1.3437430488799322,1.0,0.3328065715249018,-0.0783344410946416,1.3055555555555556,roll180_to_2024-10-31,180,2024-02-15,2024-10-31
SPY,1.5304397735238835,1.5304397735238835,1.0,1.0,0.1914563864877612,-0.0840562263215664,1.0,roll180_to_2024-11-29,180,2024-03-15,2024-11-29
2state,1.7599399047555393,2.266292353057643,1.2877100785850057,1.0,0.40659441823278586,-0.09656932278406272,1.011111111111111,roll180_to_2024-11-29,180,2024-03-15,2024-11-29
3state,1.9071491025751397,2.5987817609812587,1.3626526407779223,1.0,0.49673754489962607,-0.0783344410946416,1.3555555555555556,roll180_to_2024-11-29,180,2024-03-15,2024-11-29
SPY,1.3245708475465978,1.3245708475465978,1.0,1.0,0.17229661460339663,-0.08405622632156629,1.0,roll180_to_2024-12-31,180,2024-04-16,2024-12-31
2state,1.8709336749938155,2.3077226400960074,1.2334604218953062,1.0,0.40867665423147126,-0.09656932278406205,0.9666666666666667,roll180_to_2024-12-31,180,2024-04-16,2024-12-31
3state,1.8739364610915374,2.4925386119279422,1.330108391442514,1.0,0.47618802586356535,-0.0783344410946415,1.3444444444444446,roll180_to_2024-12-31,180,2024-04-16,2024-12-31
